cellID	cluster	color
B1_cell300	4	#0066FFFF
B1_cell301	5	#CC00FFFF
B1_cell302	4	#0066FFFF
B1_cell303	4	#0066FFFF
B1_cell304	3	#00FF66FF
B1_cell305	4	#0066FFFF
B1_cell306	3	#00FF66FF
B1_cell307	2	#CCFF00FF
B1_cell308	4	#0066FFFF
B1_cell309	4	#0066FFFF
B1_cell310	3	#00FF66FF
B1_cell311	3	#00FF66FF
B1_cell312	4	#0066FFFF
B1_cell313	5	#CC00FFFF
B1_cell314	4	#0066FFFF
B1_cell315	5	#CC00FFFF
B1_cell316	4	#0066FFFF
B1_cell317	5	#CC00FFFF
B1_cell318	4	#0066FFFF
B1_cell319	4	#0066FFFF
B1_cell320	3	#00FF66FF
B1_cell321	3	#00FF66FF
B1_cell322	5	#CC00FFFF
B1_cell323	4	#0066FFFF
B1_cell324	3	#00FF66FF
B1_cell325	4	#0066FFFF
B1_cell326	5	#CC00FFFF
B1_cell327	1	#FF0000FF
B1_cell328	4	#0066FFFF
B1_cell329	2	#CCFF00FF
B1_cell330	3	#00FF66FF
B1_cell331	3	#00FF66FF
B1_cell332	4	#0066FFFF
B1_cell333	3	#00FF66FF
B1_cell334	1	#FF0000FF
B1_cell335	4	#0066FFFF
B1_cell336	3	#00FF66FF
B1_cell337	3	#00FF66FF
B1_cell338	1	#FF0000FF
B1_cell339	1	#FF0000FF
B1_cell340	3	#00FF66FF
B1_cell341	3	#00FF66FF
B1_cell342	4	#0066FFFF
B1_cell343	2	#CCFF00FF
B1_cell344	4	#0066FFFF
B1_cell345	1	#FF0000FF
B1_cell346	3	#00FF66FF
B1_cell347	3	#00FF66FF
B1_cell348	4	#0066FFFF
B1_cell349	4	#0066FFFF
B1_cell350	5	#CC00FFFF
B1_cell351	3	#00FF66FF
